Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_length,Min_pkts_length,Max_pkts_length,StDev_pkts_length,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,Label
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,38.271758,3.8271758,2e-05,15.286633,6.49607247278121,340.9,54.0,907.0,353.89780382979995,0.5,286.9,0.0,853.0,353.89780382979995,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,47.813135,4.7813135,4.3e-05,41.468143,13.620464966258687,474.7,54.0,987.0,446.82834138701037,0.5,420.7,0.0,933.0,446.82834138701037,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,29.887404,2.9887404,7.3e-05,18.990108,6.762855740169533,406.5,54.0,795.0,369.93730700094454,0.5,352.5,0.0,741.0,369.93730700094454,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,23.590755,2.3590755,3.6e-05,11.60406,4.657851847286848,408.1,54.0,795.0,371.75752252719184,0.5,354.1,0.0,741.0,371.75752252719184,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,42.212007,4.2212007,2.8e-05,34.536628,11.319774861733018,296.1,54.0,795.0,327.7005577589937,0.5,242.1,0.0,741.0,327.7005577589937,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,53.412284,5.3412284,3.9e-05,36.877073,12.391123587784714,453.9,54.0,987.0,424.6202093897819,0.5,399.9,0.0,933.0,424.6202093897819,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,20.967605,2.0967605,4.1e-05,16.648301,5.498096748943139,486.5,54.0,987.0,456.40947745539984,0.5,432.5,0.0,933.0,456.40947745539984,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,22.154314,2.2154314,3.9e-05,18.07975,5.912307593878343,467.3,54.0,987.0,436.62494711645195,0.5,413.3,0.0,933.0,436.62494711645195,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,45.826994,4.5826994,5.1e-05,21.391634,9.164713897544317,474.7,54.0,987.0,446.82834138701037,0.5,420.7,0.0,933.0,446.82834138701037,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,32.384418,3.2384418,9e-06,28.919505,9.536517487012961,486.5,54.0,987.0,456.40947745539984,0.5,432.5,0.0,933.0,456.40947745539984,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,13.703802,1.3703802,4.1e-05,10.441781,3.401206778334493,467.3,54.0,987.0,436.62494711645195,0.5,413.3,0.0,933.0,436.62494711645195,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,25.145691,2.5145691,5e-05,14.90495,5.2871244929476315,474.7,54.0,987.0,446.82834138701037,0.5,420.7,0.0,933.0,446.82834138701037,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,10.321526,1.0321526,4.1e-05,7.799769,2.5520423201283213,486.5,54.0,987.0,456.40947745539984,0.5,432.5,0.0,933.0,456.40947745539984,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,13.394361,1.3394361,3.9e-05,9.325425,3.0440145483066026,467.3,54.0,987.0,436.62494711645195,0.5,413.3,0.0,933.0,436.62494711645195,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,21.389553,2.1389553,3.5e-05,10.554849,4.2583637994057355,474.7,54.0,987.0,446.82834138701037,0.5,420.7,0.0,933.0,446.82834138701037,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,21.189987,2.1189987,3.3e-05,13.559402,4.766666088385807,498.3,54.0,987.0,465.46131239162435,0.5,444.3,0.0,933.0,465.46131239162435,0.0,0.0
0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,142.192555,14.2192555,2.3e-05,59.663272,24.216170427146462,262.5,54.0,987.0,339.85658740121545,0.5,208.5,0.0,933.0,339.85658740121545,0.0,0.0
